LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Hizmet Binasi,Itfaiye,007-Seyrantepe Itfaiye,KAĞITHANE,28.988797,41.095948
Hizmet Binasi,Itfaiye,007-Kagithane Sadabad Itfaiye,KAĞITHANE,28.955955,41.065614
Hizmet Binasi,Itfaiye,007-Maltepe Buyukbakkalkoy Itfaiye,MALTEPE,29.205994,40.972446
Hizmet Binasi,Itfaiye,007-Pendik Yenisehir Itfaiye,PENDİK,29.305208,40.940642
Hizmet Binasi,Itfaiye,007-Sancaktepe Yenidogan Itfaiye,SANCAKTEPE,29.244518,41.015628
Hizmet Binasi,Itfaiye,007-Sariyer Haciosman Itfaiye,SARIYER,29.026522,41.135922
Hizmet Binasi,Itfaiye,007-Sariyer Istinye Itfaiye,SARIYER,29.054755,41.11489
Hizmet Binasi,Itfaiye,007-Silivri Canta Itfaiye,SİLİVRİ,28.079969,41.085608
Hizmet Binasi,Itfaiye,007-Catalca Itfaiye,ÇATALCA,28.462017,41.149553
Hizmet Binasi,Itfaiye,007-Uskudar Unalan Itfaiye,ÜSKÜDAR,29.072233,41.001856
Hizmet Binasi,Itfaiye,007-Uskudar Zeynep Kamil Itfaiye,ÜSKÜDAR,29.024381,41.013839
Hizmet Binasi,PDM,PDM-Avcilar,AVCILAR,28.739611,40.977103
Hizmet Binasi,PDM,PDM-Bagcilar,BAĞCILAR,28.834522,41.028157
Hizmet Binasi,PDM,PDM-Eyup Sultan Nisanca,EYÜPSULTAN,28.930023,41.040696
Hizmet Binasi,PDM,PDM-Gaziosmanpasa,GAZİOSMANPAŞA,28.897606,41.066778
Hizmet Binasi,PDM,PDM-Umraniye,ÜMRANİYE,29.107246,41.023481
Hizmet Binasi,PDM,PDM-Uskudar,ÜSKÜDAR,29.028444,41.015376
Hizmet Binasi,PDM,PDM-Sisli,ŞİŞLİ,28.998286,41.066891
Hizmet Binasi,PTM,PDM-Beyoglu,BEYOĞLU,28.949742,41.050079
Hizmet Binasi,Zabita,009-Edirnekapi Zabita,EYÜPSULTAN,28.927929,41.027574
Hizmet Binasi,Zabita,009-Kartal Zabita,KARTAL,29.183042,40.912491
Hizmet Binasi,Zabita,009-Zeytinburnu Zabita,ZEYTİNBURNU,28.889221,41.001069
Ismek,Ismek,ISMEK-Arnavutkoy,ARNAVUTKÖY,28.739451,41.182384
Ismek,Ismek,ISMEK-Atasehir,ATAŞEHİR,9.080466,40.995478
